Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Afghanistan,34994,1094,22456,11444,254,46,1002,3.13,64.17,4.87,33594,1400,4.17,Eastern Mediterranean
Albania,3752,101,2091,1560,85,4,29,2.69,55.73,4.83,3106,646,20.8,Europe
Algeria,20770,1040,14792,4938,554,12,497,5.01,71.22,7.03,17348,3422,19.73,Africa
Andorra,862,52,803,7,1,0,0,6.03,93.16,6.48,855,7,0.82,Europe
Angola,576,27,124,425,35,1,6,4.69,21.53,21.77,386,190,49.22,Africa
Antigua and Barbuda,74,3,57,14,0,0,0,4.05,77.03,5.26,70,4,5.71,Americas
Argentina,111146,2050,47298,61798,4236,82,1831,1.84,42.55,4.33,87030,24116,27.71,Americas
Armenia,33005,592,21348,11065,515,11,619,1.79,64.68,2.77,29820,3185,10.68,Europe
Australia,10810,113,8035,2662,323,2,107,1.05,74.33,1.41,9056,1754,19.37,Western Pacific
Austria,19154,710,17175,1269,133,1,102,3.71,89.67,4.13,18513,641,3.46,Europe
Azerbaijan,25672,326,16695,8651,559,7,545,1.27,65.03,1.95,21916,3756,17.14,Europe
Bahamas,119,11,91,17,3,0,0,9.24,76.47,12.09,106,13,12.26,Americas
Bahrain,34560,117,30320,4123,482,6,567,0.34,87.73,0.39,30931,3629,11.73,Eastern Mediterranean
Bangladesh,193590,2457,105523,85610,3533,33,2296,1.27,54.51,2.33,172134,21456,12.46,South-East Asia
Barbados,104,7,90,7,1,0,0,6.73,86.54,7.78,98,6,6.12,Americas
Belarus,65443,480,56379,8584,174,6,580,0.73,86.15,0.85,64224,1219,1.9,Europe
Belgium,62872,9788,17242,35842,91,1,19,15.57,27.42,56.77,62123,749,1.21,Europe
Belize,39,2,21,16,0,0,0,5.13,53.85,9.52,30,9,30.0,Americas
Benin,1378,26,557,795,0,0,0,1.89,40.42,4.67,1199,179,14.93,Africa
Bhutan,84,0,78,6,0,0,0,0.0,92.86,0.0,80,4,5.0,South-East Asia
Bolivia,52218,1942,16357,33919,1351,44,538,3.72,31.32,11.87,42984,9234,21.48,Americas
Bosnia and Herzegovina,7411,235,3335,3841,430,9,156,3.17,45.0,7.05,5869,1542,26.27,Europe
Botswana,399,1,38,360,0,0,0,0.25,9.52,2.63,314,85,27.07,Africa
Brazil,1966748,75366,1350098,541284,39924,1233,26673,3.83,68.65,5.58,1713160,253588,14.8,Americas
Brunei,141,3,138,0,0,0,0,2.13,97.87,2.17,141,0,0.0,Western Pacific
Bulgaria,7877,289,3841,3747,232,6,178,3.67,48.76,7.52,6342,1535,24.2,Europe
Burkina Faso,1038,53,882,103,1,0,9,5.11,84.97,6.01,1003,35,3.49,Africa
Burma,337,6,266,65,0,0,5,1.78,78.93,2.26,317,20,6.31,South-East Asia
Burundi,269,1,207,61,0,0,0,0.37,76.95,0.48,191,78,40.84,Africa
Cabo Verde,1780,19,850,911,58,0,78,1.07,47.75,2.24,1542,238,15.43,Africa
Cambodia,166,0,133,33,1,0,0,0.0,80.12,0.0,141,25,17.73,Western Pacific
Cameroon,15173,359,0,14814,0,0,0,2.37,0.0,inf,14916,257,1.72,Africa
Canada,110680,8856,0,101824,343,12,0,8.0,0.0,inf,108321,2359,2.18,Americas
Central African Republic,4362,53,1261,3048,6,0,32,1.22,28.91,4.2,4109,253,6.16,Africa
Chad,885,75,799,11,1,0,1,8.47,90.28,9.39,873,12,1.37,Africa
Chile,321205,7186,292085,21934,1712,117,2865,2.24,90.93,2.46,303083,18122,5.98,Americas
China,85246,4644,78228,2374,20,2,38,5.45,91.77,5.94,84950,296,0.35,Western Pacific
Colombia,159898,5969,68806,85123,5621,182,2997,3.73,43.03,8.68,124494,35404,28.44,Americas
Comoros,321,7,302,12,0,0,0,2.18,94.08,2.32,313,8,2.56,Africa
Congo (Brazzaville),2222,47,589,1586,194,0,0,2.12,26.51,7.98,1821,401,22.02,Africa
Congo (Kinshasa),8163,192,3983,3988,28,2,35,2.35,48.79,4.82,7432,731,9.84,Africa
Costa Rica,8986,40,2551,6395,504,3,110,0.45,28.39,1.57,5836,3150,53.98,Americas
Cote d'Ivoire,13403,87,7146,6170,366,0,238,0.65,53.32,1.22,11504,1899,16.51,Africa
Croatia,3953,120,2629,1204,126,0,71,3.04,66.51,4.56,3325,628,18.89,Europe
Cuba,2438,87,2277,74,6,0,2,3.57,93.4,3.82,2399,39,1.63,Americas
Cyprus,1025,19,839,167,2,0,0,1.85,81.85,2.26,1008,17,1.69,Europe
Czechia,13475,355,0,13120,134,0,0,2.63,0.0,inf,12814,661,5.16,Europe
Denmark,13280,610,12370,300,31,0,22,4.59,93.15,4.93,13088,192,1.47,Europe
Djibouti,4985,56,4765,164,6,0,22,1.12,95.59,1.18,4889,96,1.96,Eastern Mediterranean
Dominica,18,0,18,0,0,0,0,0.0,100.0,0.0,18,0,0.0,Americas
Dominican Republic,47671,929,23459,23283,1366,19,325,1.95,49.21,3.96,39588,8083,20.42,Americas
Ecuador,70329,5158,30641,34530,759,28,157,7.33,43.57,16.83,63245,7084,11.2,Americas
Egypt,84843,4067,26135,54641,913,59,591,4.79,30.8,15.56,78304,6539,8.35,Eastern Mediterranean
El Salvador,10645,286,6120,4239,342,8,201,2.69,57.49,4.67,8566,2079,24.27,Americas
Equatorial Guinea,3071,51,842,2178,0,0,0,1.66,27.42,6.06,3071,0,0.0,Africa
Eritrea,232,0,107,125,0,0,0,0.0,46.12,0.0,215,17,7.91,Africa
Estonia,2016,69,1901,46,1,0,4,3.42,94.3,3.63,2003,13,0.65,Europe
Eswatini,1489,20,724,745,55,0,29,1.34,48.62,2.76,1138,351,30.84,Africa
Ethiopia,8181,146,2430,5605,212,7,0,1.78,29.7,6.01,6774,1407,20.77,Africa
Fiji,26,0,18,8,0,0,0,0.0,69.23,0.0,21,5,23.81,Western Pacific
Finland,7296,328,6880,88,0,-1,80,4.5,94.3,4.77,7265,31,0.43,Europe
France,210568,30123,78945,101500,928,91,223,14.31,37.49,38.16,206072,4496,2.18,Europe
Gabon,6121,46,3664,2411,95,0,189,0.75,59.86,1.26,5871,250,4.26,Africa
Gambia,64,3,34,27,0,0,0,4.69,53.12,8.82,61,3,4.92,Africa
Georgia,1004,15,873,116,5,0,3,1.49,86.95,1.72,963,41,4.26,Europe
Germany,200890,9080,186000,5810,434,2,900,4.52,92.59,4.88,198699,2191,1.1,Europe
Ghana,25430,139,21511,3780,442,0,444,0.55,84.59,0.65,22822,2608,11.43,Africa
Greece,3910,193,1374,2343,27,0,0,4.94,35.14,14.05,3622,288,7.95,Europe
Greenland,13,0,13,0,0,0,0,0.0,100.0,0.0,13,0,0.0,Europe
Grenada,23,0,0,23,0,0,0,0.0,0.0,0.0,23,0,0.0,Americas
Guatemala,32074,1350,4624,26100,1202,48,171,4.21,14.42,29.2,25411,6663,26.22,Americas
Guinea,6276,38,4981,1257,76,0,30,0.61,79.37,0.76,5697,579,10.16,Africa
Guinea-Bissau,1842,26,773,1043,0,0,0,1.41,41.97,3.36,1790,52,2.91,Africa
Guyana,313,18,156,139,5,1,0,5.75,49.84,11.54,284,29,10.21,Americas
Haiti,6831,143,3283,3405,104,2,261,2.09,48.06,4.36,6486,345,5.32,Americas
Holy See,12,0,12,0,0,0,0,0.0,100.0,0.0,12,0,0.0,Europe
Honduras,30036,825,3379,25832,930,18,92,2.75,11.25,24.42,25978,4058,15.62,Americas
Hungary,4263,595,3126,542,5,0,20,13.96,73.33,19.03,4210,53,1.26,Europe
Iceland,1911,10,1885,16,6,0,3,0.52,98.64,0.53,1880,31,1.65,Europe
India,968857,24914,612768,331175,32676,605,20736,2.57,63.25,4.07,767296,201561,26.27,South-East Asia
Indonesia,80094,3797,39050,37247,1522,87,1414,4.74,48.76,9.72,68079,12015,17.65,South-East Asia
Iran,264561,13410,227561,23590,2388,199,2291,5.07,86.01,5.89,248379,16182,6.52,Eastern Mediterranean
Iraq,83867,3432,52621,27814,2110,87,1839,4.09,62.74,6.52,67442,16425,24.35,Eastern Mediterranean
Ireland,25683,1748,23364,571,13,2,0,6.81,90.97,7.48,25542,141,0.55,Europe
Israel,44188,376,19989,23823,1828,5,324,0.85,45.24,1.88,33557,10631,31.68,Europe
Italy,243506,34997,196016,12493,162,13,575,14.37,80.5,17.85,242149,1357,0.56,Europe
Jamaica,763,10,647,106,1,0,4,1.31,84.8,1.55,751,12,1.6,Americas
Japan,23172,984,18126,4062,735,0,0,4.25,78.22,5.43,20261,2911,14.37,Western Pacific
Jordan,1201,10,1016,175,3,0,3,0.83,84.6,0.98,1169,32,2.74,Eastern Mediterranean
Kazakhstan,65188,375,39066,25747,1674,0,1058,0.58,59.93,0.96,51059,14129,27.67,Europe
