Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,WHO Region
,Afghanistan,33.0,65.0,1/22/20,0,0,0,emro
,Albania,41.1533,20.1683,1/22/20,0,0,0,euro
,Algeria,28.0339,1.6596,1/22/20,0,0,0,afro
,Andorra,42.5063,1.5218,1/22/20,0,0,0,euro
,Angola,-11.2027,17.8739,1/22/20,0,0,0,afro
,Antigua and Barbuda,17.0608,-61.7964,1/22/20,0,0,0,paho
,Argentina,-38.4161,-63.6167,1/22/20,0,0,0,paho
,Armenia,40.0691,45.0382,1/22/20,0,0,0,euro
Australian Capital Territory,Australia,-35.4735,149.0124,1/22/20,0,0,0,wpro
New South Wales,Australia,-33.8688,151.2093,1/22/20,0,0,0,wpro
Northern Territory,Australia,-12.4634,130.8456,1/22/20,0,0,0,wpro
Queensland,Australia,-28.0167,153.4,1/22/20,0,0,0,wpro
South Australia,Australia,-34.9285,138.6007,1/22/20,0,0,0,wpro
Tasmania,Australia,-41.4545,145.9707,1/22/20,0,0,0,wpro
Victoria,Australia,-37.8136,144.9631,1/22/20,0,0,0,wpro
Western Australia,Australia,-31.9505,115.8605,1/22/20,0,0,0,wpro
,Austria,47.5162,14.5501,1/22/20,0,0,0,euro
,Azerbaijan,40.1431,47.5769,1/22/20,0,0,0,euro
,Bahamas,25.0343,-77.3963,1/22/20,0,0,0,paho
,Bahrain,26.0275,50.55,1/22/20,0,0,0,emro
,Bangladesh,23.685,90.3563,1/22/20,0,0,0,searo
,Barbados,13.1939,-59.5432,1/22/20,0,0,0,paho
,Belarus,53.7098,27.9534,1/22/20,0,0,0,euro
,Belgium,50.8333,4.0,1/22/20,0,0,0,euro
,Benin,9.3077,2.3158,1/22/20,0,0,0,afro
,Bhutan,27.5142,90.4336,1/22/20,0,0,0,searo
,Bolivia,-16.2902,-63.5887,1/22/20,0,0,0,paho
,Bosnia and Herzegovina,43.9159,17.6791,1/22/20,0,0,0,euro
,Brazil,-14.235,-51.9253,1/22/20,0,0,0,paho
,Brunei,4.5353,114.7277,1/22/20,0,0,0,wpro
,Bulgaria,42.7339,25.4858,1/22/20,0,0,0,euro
,Burkina Faso,12.2383,-1.5616,1/22/20,0,0,0,afro
,Cabo Verde,16.5388,-23.0418,1/22/20,0,0,0,afro
,Cambodia,11.55,104.9167,1/22/20,0,0,0,wpro
,Cameroon,3.8480000000000003,11.5021,1/22/20,0,0,0,afro
Alberta,Canada,53.9333,-116.5765,1/22/20,0,0,0,paho
British Columbia,Canada,49.2827,-123.1207,1/22/20,0,0,0,paho
Grand Princess,Canada,37.6489,-122.6655,1/22/20,0,0,0,paho
Manitoba,Canada,53.7609,-98.8139,1/22/20,0,0,0,paho
New Brunswick,Canada,46.5653,-66.4619,1/22/20,0,0,0,paho
Newfoundland and Labrador,Canada,53.1355,-57.6604,1/22/20,0,0,0,paho
Nova Scotia,Canada,44.681999999999995,-63.7443,1/22/20,0,0,0,paho
Ontario,Canada,51.2538,-85.3232,1/22/20,0,0,0,paho
Prince Edward Island,Canada,46.5107,-63.4168,1/22/20,0,0,0,paho
Quebec,Canada,52.9399,-73.5491,1/22/20,0,0,0,paho
Saskatchewan,Canada,52.9399,-106.4509,1/22/20,0,0,0,paho
,Central African Republic,6.6111,20.9394,1/22/20,0,0,0,afro
,Chad,15.4542,18.7322,1/22/20,0,0,0,afro
,Chile,-35.6751,-71.543,1/22/20,0,0,0,paho
Anhui,China,31.8257,117.2264,1/22/20,1,0,0,wpro
