Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
USA,North America,331071090,3479483,,138247,,1549469,,1791767,15934,10510,418,43252833,130645,Americas
Brazil,South America,212611764,1887959,,72921,,1213512,,601526,8318,8880,343,4572796,21508,Americas
India,Asia,1380456029,907645,,23727,,572112,,311806,8944,657,17,12092503,8760,South-EastAsia
Russia,Europe,145936834,733699,,11439,,504021,,218239,2300,5028,78,23200000,158973,Europe
Peru,South America,32986193,330123,,12054,,221008,,97061,1314,10008,365,1943679,58924,Americas
Chile,South America,19121766,317657,,7024,,286556,,24077,1995,16612,367,1310265,68522,Americas
Mexico,North America,128977388,304435,4685,35491,485,189063,4299,79881,378,2360,275,739922,5737,Americas
Spain,Europe,46755465,303033,,28406,,,,,617,6481,608,6026446,128893,Europe
UK,Europe,67898692,290133,,44830,,,,,185,4273,660,12128749,178630,Europe
South Africa,Africa,59332536,287796,,4172,,138241,,145383,539,4851,70,2194624,36989,Africa
Iran,Asia,84027129,259652,,13032,,222539,,24081,3375,3090,155,1997967,23778,EasternMediterranean
Pakistan,Asia,221014132,253604,1979,5320,54,170656,8739,77628,2151,1147,24,1606190,7267,EasternMediterranean
Italy,Europe,60458374,243230,,34967,,195106,,13157,65,4023,578,5962744,98626,Europe
Saudi Arabia,Asia,34830342,235111,,2243,,169842,,63026,2235,6750,64,2336874,67093,EasternMediterranean
Turkey,Asia,84368854,214001,,5382,,195671,,12948,1223,2536,64,4021947,47671,Europe
Germany,Europe,83793738,200436,,9139,,185100,,6197,264,2392,109,6376054,76092,Europe
Bangladesh,Asia,164743893,186894,,2391,,98317,,86186,1,1134,15,955947,5803,South-EastAsia
France,Europe,65278862,172377,,30029,,78597,,63751,492,2641,460,2489269,38133,Europe
Colombia,South America,50900720,154277,,5455,,65809,,83013,875,3031,107,1056814,20762,Americas
Canada,North America,37753346,108155,,8790,,71841,,27524,2159,2865,233,3257608,86287,Americas
Qatar,Asia,2807805,104016,,149,,100627,,3240,139,37045,53,416327,148275,EasternMediterranean
Argentina,South America,45209716,103265,,1903,,44173,,57189,752,2284,42,474422,10494,Americas
Egypt,Africa,102389769,83001,,3935,,24975,,54091,41,811,38,135000,1318,EasternMediterranean
Iraq,Asia,40246696,79735,,3250,,46998,,29487,412,1981,81,698012,17343,EasternMediterranean
Indonesia,Asia,273618818,76981,,3656,,36689,,36636,,281,13,1074467,3927,South-EastAsia
Sweden,Europe,10101474,75826,,5536,,,,,86,7506,548,600019,59399,Europe
Ecuador,South America,17651246,68459,,5063,,30369,,33027,308,3878,287,183392,10390,Americas
Belarus,Europe,9449204,65114,,468,,55492,,9154,89,6891,50,1141580,120812,Europe
Belgium,Europe,11591439,62707,,9782,,17196,,35729,32,5410,844,1361830,117486,Europe
Kazakhstan,Asia,18783943,61755,1856,375,,35911,1721,25469,221,3288,20,1719295,91530,Europe
Oman,Asia,5109903,58179,,259,,37257,,20663,146,11386,51,244787,47904,EasternMediterranean
Philippines,Asia,109627070,57006,,1599,,20371,,35036,333,520,15,999439,9117,WesternPacific
Kuwait,Asia,4272515,55508,,393,,45356,,9759,148,12992,92,437422,102380,EasternMediterranean
UAE,Asia,9894245,55198,,334,,45513,,9351,1,5579,34,4000000,404275,EasternMediterranean
Ukraine,Europe,43722996,54133,,1398,,26503,,26232,81,1238,32,803657,18381,Europe
Netherlands,Europe,17136277,51093,,6137,,,,,20,2982,358,681931,39795,Europe
Bolivia,South America,11678015,49250,1063,1866,59,15294,451,32090,71,4217,160,108897,9325,Americas
Panama,North America,4316825,47173,,932,,23919,,22322,160,10928,216,168517,39037,Americas
Portugal,Europe,10195534,46818,,1662,,31065,,14091,63,4592,163,1360164,133408,Europe
Singapore,Asia,5851919,46283,,26,,42541,,3716,1,7909,4,866414,148056,WesternPacific
Dominican Republic,North America,10851521,45506,,903,,22441,,22162,226,4194,83,189391,17453,Americas
Israel,Asia,9197590,40632,,365,,19395,,20872,183,4418,40,1266385,137687,Europe
Poland,Europe,37845009,38190,,1576,,27515,,9099,69,1009,42,1813365,47916,Europe
Afghanistan,Asia,38951817,34455,,1012,,21254,,12189,31,885,26,79804,2049,EasternMediterranean
Bahrain,Asia,1702768,33476,,109,,29099,,4268,50,19660,64,675451,396678,EasternMediterranean
Nigeria,Africa,206270258,33153,,744,,13671,,18738,7,161,4,183294,889,Africa
Romania,Europe,19232393,32948,,1901,,21692,,9355,235,1713,99,854241,44417,Europe
Switzerland,Europe,8656808,32946,,1968,,29600,,1378,18,3806,227,686349,79284,Europe
Armenia,Asia,2963449,32151,,573,,19865,,11713,10,10849,193,135687,45787,Europe
Guatemala,North America,17925137,29742,,1244,,4321,,24177,5,1659,69,64590,3603,Americas
Honduras,North America,9909366,28579,489,789,15,3123,166,24667,58,2884,80,49308,4976,Americas
Ireland,Europe,4939585,25638,,1746,,23364,,528,9,5190,353,516958,104656,Europe
Ghana,Africa,31090865,24988,,139,,21067,,3782,8,804,4,331366,10658,Africa
Azerbaijan,Asia,10142257,24570,,313,,15640,,8617,66,2423,31,576249,56817,Europe
Japan,Asia,126461136,21868,,982,,18103,,2783,34,173,8,562105,4445,WesternPacific
Algeria,Africa,43874087,19689,,1018,,14019,,4652,61,449,23,,,Africa
Moldova,Europe,4033595,19439,,649,,12793,,5997,373,4819,161,101180,25084,Europe
Austria,Europe,9008214,18948,,708,,17000,,1240,8,2103,79,700616,77775,Europe
Serbia,Europe,8735962,18639,,405,,13940,,4294,154,2134,46,498343,57045,Europe
Nepal,Asia,29152078,16945,,38,,10294,,6613,,581,1,601773,20643,South-EastAsia
Morocco,Africa,36924679,15936,,255,,12934,,2747,31,432,7,896638,24283,EasternMediterranean
Cameroon,Africa,26562725,15173,,359,,11928,,2886,52,571,14,120837,4549,Africa
Uzbekistan,Asia,33484207,13591,,64,,8030,,5497,43,406,2,1377915,41151,Europe
S. Korea,Asia,51270849,13512,33,289,,12282,78,941,15,264,6,1420616,27708,WesternPacific
Czechia,Europe,10709720,13238,,353,,8373,,4512,15,1236,33,598642,55897,Europe
Denmark,Europe,5792945,13037,,610,,12130,,297,3,2250,105,1244789,214880,Europe
Ivory Coast,Africa,26394988,12872,,84,,6810,,5978,,488,3,77384,2932,Africa
Kyrgyzstan,Asia,6527414,11444,327,149,2,3538,78,7757,24,1753,23,255242,39103,Europe
Sudan,Africa,43876223,10316,,657,,5403,,4256,,235,15,401,9,EasternMediterranean
Kenya,Africa,53803313,10294,,197,,2946,,7151,44,191,4,216242,4019,Africa
Australia,Australia/Oceania,25509470,10250,270,108,,7835,67,2307,28,402,4,3156624,123743,WesternPacific
